District,Production(Tonnes),Mean Price(Rs./Quintal)
Doddaballa Pur_2004_8_August,30,540
Gubbi_2004_8_August,10,495
H.B. Halli_2004_8_August,5,440
Harappana Halli_2004_8_August,533,466
Harihara_2004_8_August,385,480
Hassan_2004_8_August,248,450
Holenarsipura_2004_8_August,356,443
Honnali_2004_8_August,7,445
Hosadurga_2004_8_August,74,479
K.R. Pet_2004_8_August,8,425
Kadur_2004_8_August,75,501
Kolar_2004_8_August,59,553
Mysore (Bandipalya)_2004_8_August,110,475
Nagamangala_2004_8_August,64,488
Ranebennur_2004_8_August,17,450
Shimoga_2004_8_August,106,600
Sira_2004_8_August,9,572
Srinivasapur_2004_8_August,1,550
Tarikere_2004_8_August,54,425
Tumkur_2004_8_August,76,529
Arasikere_2005_1_January,527,409
Bangalore_2005_1_January,927,524
Belur_2005_1_January,15,425
Bhadravathi_2005_1_January,2,475
Channarayapatna_2005_1_January,140,411
Chikkamagalore_2005_1_January,5,360
Chintamani_2005_1_January,60,402
Davangere_2005_1_January,178,483
Doddaballa Pur_2005_1_January,6,508
Gubbi_2005_1_January,110,469
Gundlupet_2005_1_January,4,500
H.B. Halli_2005_1_January,1,350
Harappana Halli_2005_1_January,370,431
Hassan_2005_1_January,625,401
Holenarsipura_2005_1_January,217,424
Hosadurga_2005_1_January,127,420
Huliyar_2005_1_January,9,410
K.R. Pet_2005_1_January,19,396
Kadur_2005_1_January,213,411
Kolar_2005_1_January,67,489
Kollegal_2005_1_January,11,535
Kunigal_2005_1_January,17,430
Malur_2005_1_January,3,560
Mysore (Bandipalya)_2005_1_January,50,429
Nagamangala_2005_1_January,262,475
Piriya Pattana_2005_1_January,3,480
Ranebennur_2005_1_January,36,535
Sira_2005_1_January,5,502
Srinivasapur_2005_1_January,1,550
Tarikere_2005_1_January,35,400
Tumkur_2005_1_January,129,508
Arasikere_2005_8_August,863,410
Bangalore_2005_8_August,855,600
Bangarpet_2005_8_August,132,1200
Belur_2005_8_August,89,410
Bhadravathi_2005_8_August,4,456
Channapatana_2005_8_August,10,500
