Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2004-11-01,2004,11,20,1810
2014-12-01,2014,12,342,3862
2015-01-01,2015,1,8106,3860
2015-12-01,2015,12,5,4500
2016-01-01,2016,1,6,4500
2018-01-01,2018,1,5,5000
