Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2007-06-01,2007,6,101,1218
2007-07-01,2007,7,60,1171
2007-08-01,2007,8,70,1266
2007-11-01,2007,11,143,1290
2007-12-01,2007,12,53,1329
2008-01-01,2008,1,88,1363
2008-06-01,2008,6,29,1738
2010-01-01,2010,1,10,1860
2011-06-01,2011,6,1,2230
2012-12-01,2012,12,17,2950
2013-07-01,2013,7,3,13000
2016-12-01,2016,12,21,2350
2017-01-01,2017,1,62,2750
2019-08-01,2019,8,10,3200
2019-11-01,2019,11,36,3825
2019-12-01,2019,12,30,3467
