Crop Production Statistics,,,,,
,,,,,
State/Crop/District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Karnataka,,,,,
Arecanut,,,,,
 1.HAVERI, 1998-99,Whole Year ,225,1515,6.73333333333333
, 2000-01,Whole Year ,360,503,1.39722222222222
, 2001-02,Whole Year ,507,708,1.39644970414201
, 2003-04,Whole Year ,634,886,1.39747634069401
, 2004-05,Whole Year ,717,1002,1.39748953974895
, 2005-06,Whole Year ,715,4816,6.73566433566434
, 2006-07,Whole Year ,794,1109,1.39672544080605
, 2007-08,Whole Year ,922,6210,6.7353579175705
, 2008-09,Whole Year ,1043,7025,6.73537871524449
, 2009-10,Whole Year ,1288,8675,6.73524844720497
, 2010-11,Whole Year ,1580,17084,10.8126582278481
, 2011-12,Whole Year ,1655,13403,8.09848942598187
, 2012-13,Whole Year ,1873,15033,8.02616123865456
, 2013-14,Whole Year ,1882,20963,11.1386822529224
, 2014-15,Whole Year ,2314,21410,9.2523768366465
, 2015-16,Whole Year ,2414,23662,9.8019884009942
, 2016-17,Whole Year ,2848,28931,10.158356741573
, 2017-18,Whole Year ,4053,43957,10.8455465087589
, 2018-19,Whole Year ,6409,57225,8.9288500546107
Total - Arecanut,,,32233,274117,8.50423479043217
Arhar/Tur,,,,,
 1.HAVERI, 1998-99,Kharif     ,7477,2216,0.296375551691855
, 1999-00,Kharif     ,8099,4978,0.614643783183109
, 2000-01,Kharif     ,6348,4191,0.660207939508507
, 2001-02,Kharif     ,6277,2815,0.448462641389199
, 2002-03,Kharif     ,4803,1036,0.215698521757235
, 2003-04,Kharif     ,2946,523,0.177528852681602
, 2004-05,Kharif     ,4375,1517,0.346742857142857
, 2005-06,Kharif     ,3698,3183,0.860735532720389
, 2006-07,Kharif     ,3690,3172,0.859620596205962
, 2007-08,Kharif     ,2807,1872,0.666904168151051
, 2008-09,Kharif     ,2332,1187,0.509005145797599
, 2009-10,Kharif     ,2546,1461,0.573841319717203
, 2010-11,Kharif     ,3031,1889,0.62322665786869
, 2011-12,Kharif     ,2635,1482,0.562428842504744
, 2012-13,Kharif     ,1973,1160,0.587937151545869
, 2013-14,Kharif     ,1673,1162,0.694560669456067
, 2014-15,Kharif     ,1410,964,0.683687943262411
, 2015-16,Kharif     ,1739,831,0.477860839562967
, 2016-17,Kharif     ,3332,2146,0.64405762304922
, 2017-18,Kharif     ,1221,1231,1.00819000819001
, 2018-19,Kharif     ,1463,960,0.656185919343814
Total - Arhar/Tur,,,73875,39976,0.541130287648054
Bajra,,,,,
 1.HAVERI, 1998-99,Kharif     ,892,589,0.660313901345291
, 1999-00,Kharif     ,647,352,0.544049459041731
, 2000-01,Kharif     ,382,286,0.74869109947644
,,Summer     ,8,9,1.125
,,Total,390,295,0.756410256410256
, 2001-02,Kharif     ,344,172,0.5
, 2002-03,Kharif     ,433,157,0.362586605080831
, 2003-04,Kharif     ,43,25,0.581395348837209
, 2004-05,Kharif     ,178,97,0.544943820224719
, 2005-06,Kharif     ,73,62,0.849315068493151
, 2006-07,Kharif     ,69,28,0.405797101449275
, 2007-08,Kharif     ,47,34,0.723404255319149
, 2008-09,Kharif     ,15,8,0.533333333333333
, 2009-10,Kharif     ,1,,0
, 2011-12,Kharif     ,7,6,0.857142857142857
, 2012-13,Kharif     ,59,61,1.03389830508475
, 2016-17,Kharif     ,5,5,1
, 2018-19,Kharif     ,6,5,0.833333333333333
Total - Bajra,,,3209,1896,0.590838267373013
Banana,,,,,
 1.HAVERI, 1999-00,Whole Year ,500,11732,23.464
, 2000-01,Whole Year ,571,10497,18.3835376532399
, 2002-03,Whole Year ,1501,38304,25.5189873417722
, 2003-04,Whole Year ,862,35231,40.8712296983759
, 2004-05,Whole Year ,942,36550,38.8004246284501
, 2005-06,Whole Year ,1199,41846,34.9007506255213
, 2006-07,Whole Year ,1201,38731,32.2489592006661
, 2007-08,Whole Year ,1246,73996,59.3868378812199
, 2008-09,Whole Year ,1016,39199,38.5816929133858
, 2009-10,Whole Year ,1089,28219,25.9127640036731
, 2010-11,Whole Year ,1516,42166,27.8139841688654
, 2011-12,Whole Year ,1413,40820,28.8888888888889
Total - Banana,,,13056,437291,33.4934895833333
Black pepper,,,,,
 1.HAVERI, 2014-15,Whole Year ,21,12.3,0.585714285714286
, 2015-16,Whole Year ,10,7.7,0.77
, 2016-17,Whole Year ,7,4.2,0.6
, 2017-18,Whole Year ,15,9.8,0.653333333333333
, 2018-19,Whole Year ,36,22.8,0.633333333333333
Total - Black pepper,,,89,56.8,0.638202247191011
Cardamom,,,,,
 1.HAVERI, 2018-19,Whole Year ,2,0.2,0.1
Total - Cardamom,,,2,0.2,0.1
Cashewnut,,,,,
 1.HAVERI, 2008-09,Whole Year ,44,27.05076,0.61479
, 2009-10,Whole Year ,49,37,0.755102040816326
, 2010-11,Whole Year ,55,40,0.727272727272727
, 2011-12,Whole Year ,61,49,0.80327868852459
, 2012-13,Whole Year ,50,40,0.8
, 2013-14,Whole Year ,54,48,0.888888888888889
, 2014-15,Whole Year ,38,28,0.736842105263158
, 2015-16,Whole Year ,64,41,0.640625
, 2016-17,Whole Year ,63,36,0.571428571428571
, 2017-18,Whole Year ,100,73,0.73
, 2018-19,Whole Year ,113,136,1.20353982300885
Total - Cashewnut,,,691,555.05076,0.803257250361794
Castor seed,,,,,
 1.HAVERI, 1998-99,Kharif     ,148,126,0.851351351351351
, 1999-00,Kharif     ,207,160,0.772946859903382
, 2000-01,Kharif     ,298,382,1.28187919463087
, 2001-02,Kharif     ,262,194,0.740458015267176
, 2002-03,Kharif     ,100,92,0.92
, 2003-04,Kharif     ,43,39,0.906976744186046
, 2004-05,Kharif     ,133,115,0.864661654135338
, 2005-06,Kharif     ,89,93,1.04494382022472
, 2006-07,Kharif     ,59,47,0.796610169491525
, 2007-08,Kharif     ,63,42,0.666666666666667
, 2008-09,Kharif     ,60,57,0.95
, 2009-10,Kharif     ,13,8,0.615384615384615
, 2010-11,Kharif     ,11,9,0.818181818181818
, 2011-12,Kharif     ,16,13,0.8125
, 2012-13,Kharif     ,5,3,0.6
, 2013-14,Kharif     ,27,24,0.888888888888889
, 2014-15,Kharif     ,13,8,0.615384615384615
, 2015-16,Kharif     ,12,6,0.5
, 2016-17,Kharif     ,9,4,0.444444444444444
, 2017-18,Kharif     ,2,1,0.5
, 2018-19,Kharif     ,5,3,0.6
Total - Castor seed,,,1575,1426,0.905396825396825
Coconut ,,,,Nuts*,Nuts/Hectare
 1.HAVERI, 1998-99,Whole Year ,738,3524000,4775.06775067751
, 1999-00,Whole Year ,771,3681000,4774.31906614786
, 2000-01,Whole Year ,660,3151000,4774.24242424242
, 2001-02,Whole Year ,1297,6193000,4774.86507324595
, 2002-03,Whole Year ,1852,8843000,4774.83801295896
, 2003-04,Whole Year ,1229,5868000,4774.61350691619
, 2004-05,Whole Year ,1147,5477000,4775.06538796861
, 2005-06,Whole Year ,974,4651000,4775.15400410678
, 2006-07,Whole Year ,1058,5052000,4775.04725897921
, 2007-08,Whole Year ,1123,5718000,5091.71861086376
, 2008-09,Whole Year ,1148,5957000,5189.0243902439
, 2009-10,Whole Year ,1243,5598000,4503.62027353178
, 2010-11,Whole Year ,1287,12303000,9559.44055944056
, 2011-12,Whole Year ,1290,12825000,9941.86046511628
, 2012-13,Whole Year ,1394,13725000,9845.76757532281
, 2013-14,Whole Year ,1395,11068000,7934.05017921147
, 2014-15,Whole Year ,1360,12136000,8923.52941176471
, 2015-16,Whole Year ,1281,10712000,8362.21701795472
, 2016-17,Whole Year ,1140,8913000,7818.42105263158
, 2017-18,Whole Year ,1439,11378000,7906.87977762335
, 2018-19,Whole Year ,1455,10305000,7082.47422680412
Total - Coconut ,,,25281,167078000,6608.83667576441
Coriander,,,,,
 1.HAVERI, 1998-99,Whole Year ,518,53,0.102316602316602
, 1999-00,Whole Year ,442,46,0.104072398190045
, 2000-01,Whole Year ,494,51,0.103238866396761
, 2001-02,Whole Year ,322,33,0.102484472049689
, 2002-03,Whole Year ,222,23,0.103603603603604
, 2003-04,Whole Year ,237,24,0.10126582278481
, 2004-05,Whole Year ,177,18,0.101694915254237
, 2005-06,Whole Year ,92,9,0.0978260869565217
, 2006-07,Whole Year ,215,22,0.102325581395349
, 2007-08,Whole Year ,71,25,0.352112676056338
, 2008-09,Whole Year ,64,35,0.546875
, 2009-10,Whole Year ,45,22,0.488888888888889
, 2010-11,Whole Year ,26,10,0.384615384615385
, 2011-12,Whole Year ,81,33,0.407407407407407
, 2012-13,Whole Year ,33,13,0.393939393939394
, 2013-14,Whole Year ,31,10,0.32258064516129
, 2014-15,Whole Year ,34,12,0.352941176470588
, 2015-16,Whole Year ,30,13,0.433333333333333
, 2017-18,Whole Year ,58,21,0.362068965517241
, 2018-19,Whole Year ,26,23,0.884615384615385
Total - Coriander,,,3218,496,0.154133001864512
Cotton(lint),,,,Bales*,Bales/Hectare
 1.HAVERI, 1998-99,Kharif     ,79382,91997,1.15891511929657
, 1999-00,Kharif     ,71949,65398,0.908949394710142
, 2000-01,Kharif     ,67008,119094,1.77731017191977
, 2001-02,Kharif     ,80825,79106,0.978731828023508
, 2002-03,Kharif     ,59585,49612,0.832625660820676
, 2003-04,Kharif     ,47319,31332,0.662144170417803
, 2004-05,Kharif     ,63400,92471,1.45853312302839
, 2005-06,Whole Year ,59771,96519,1.61481320372756
, 2006-07,Whole Year ,76459,129621,1.69530074942126
, 2007-08,Whole Year ,78900,152978,1.93888466413181
, 2008-09,Whole Year ,91934,163838,1.78212630800357
, 2009-10,Whole Year ,109231,143134,1.31037892173467
, 2010-11,Kharif     ,100887,277675,2.75233677282504
,,Rabi       ,3843,2921,0.76008326827999
,,Total,104730,280596,2.67923231165855
, 2011-12,Kharif     ,104276,304176,2.91702788752925
,,Rabi       ,1865,1710,0.916890080428954
,,Total,106141,305886,2.88188353228253
, 2012-13,Kharif     ,64332,144873,2.25195858981533
,,Rabi       ,1327,1112,0.837980406932931
,,Total,65659,145985,2.22338141001234
, 2013-14,Kharif     ,96977,192919,1.98932736628273
,,Rabi       ,821,1514,1.84409257003654
,,Total,97798,194433,1.98810814127078
, 2014-15,Kharif     ,105249,211727,2.01167707056599
,,Rabi       ,244,281,1.1516393442623
,,Summer     ,534,1012,1.89513108614232
,,Total,106027,213020,2.00911088684958
, 2015-16,Kharif     ,84065,178977,2.12903110688158
,,Rabi       ,312,134,0.42948717948718
,,Summer     ,47,100,2.12765957446808
,,Total,84424,179211,2.12274945513124
, 2016-17,Kharif     ,74804,95305,1.27406288433774
,,Rabi       ,96,31,0.322916666666667
,,Total,74900,95336,1.2728437917223
, 2017-18,Kharif     ,69947,209112,2.989577823209
,,Rabi       ,240,181,0.754166666666667
,,Total,70187,209293,2.98193397637739
, 2018-19,Kharif     ,80839,154491,1.91109489231683
,,Rabi       ,83,260,3.13253012048193
,,Total,80922,154751,1.91234769284002
Total - Cotton(lint),,,1676551,2993611,1.78557705670749
Cowpea(Lobia),,,,,
 1.HAVERI, 2010-11,Kharif     ,465,240,0.516129032258065
,,Rabi       ,1227,324,0.264058679706601
,,Total,1692,564,0.333333333333333
, 2011-12,Kharif     ,301,159,0.528239202657807
,,Rabi       ,664,120,0.180722891566265
,,Total,965,279,0.289119170984456
, 2012-13,Kharif     ,330,90,0.272727272727273
,,Rabi       ,340,113,0.332352941176471
,,Summer     ,634,143,0.225552050473186
,,Total,1304,346,0.265337423312883
, 2013-14,Kharif     ,241,90,0.37344398340249
,,Rabi       ,743,314,0.422611036339166
,,Summer     ,512,148,0.2890625
,,Total,1496,552,0.368983957219251
, 2014-15,Kharif     ,108,47,0.435185185185185
,,Rabi       ,571,209,0.366024518388792
,,Summer     ,487,187,0.383983572895277
,,Total,1166,443,0.379931389365352
, 2015-16,Kharif     ,148,61,0.412162162162162
,,Rabi       ,416,185,0.444711538461538
,,Summer     ,394,122,0.309644670050761
,,Total,958,368,0.384133611691023
, 2016-17,Kharif     ,252,193,0.765873015873016
,,Rabi       ,453,11,0.0242825607064018
,,Summer     ,265,50,0.188679245283019
,,Total,970,254,0.261855670103093
, 2017-18,Kharif     ,149,31,0.208053691275168
,,Rabi       ,519,211,0.40655105973025
,,Summer     ,341,102,0.299120234604106
,,Total,1009,344,0.340931615460852
, 2018-19,Kharif     ,91,23,0.252747252747253
,,Rabi       ,733,206,0.281036834924966
,,Summer     ,271,35,0.129151291512915
,,Total,1095,264,0.241095890410959
Total - Cowpea(Lobia),,,10655,3414,0.320412951665885
Dry chillies,,,,,
 1.HAVERI, 1998-99,Whole Year ,53823,41073,0.76311242405663
, 1999-00,Whole Year ,44946,31784,0.707159702754416
, 2000-01,Whole Year ,37609,22115,0.588024143157223
, 2001-02,Whole Year ,42720,20270,0.474485018726592
, 2002-03,Whole Year ,29606,9940,0.33574275484699
, 2003-04,Whole Year ,12265,15662,1.27696697920913
, 2004-05,Whole Year ,24901,11794,0.473635596963977
, 2005-06,Kharif     ,15995,6350,0.39699906220694
,,Rabi       ,280,455,1.625
,,Summer     ,1905,3917,2.05616797900262
,,Total,18180,10722,0.58976897689769
, 2006-07,Whole Year ,20421,28525,1.3968463836247
, 2007-08,Kharif     ,17289,19414,1.12291052114061
,,Rabi       ,754,2342,3.10610079575597
,,Summer     ,1595,3832,2.4025078369906
,,Total,19638,25588,1.30298401059171
, 2008-09,Kharif     ,10191,17698,1.73663036012168
,,Rabi       ,1269,3561,2.80614657210402
,,Summer     ,2303,8347,3.62440295267043
,,Total,13763,29606,2.15112984087772
, 2009-10,Rabi       ,1250,5558,4.4464
,,Summer     ,1997,11315,5.66599899849775
,,Total,3247,16873,5.19648906683092
, 2010-11,Kharif     ,6567,4642,0.706867671691792
,,Rabi       ,1742,4253,2.4414466130884
,,Summer     ,2744,6037,2.20007288629738
,,Total,11053,14932,1.35094544467565
, 2011-12,Kharif     ,5158,5865,1.13706863125242
,,Rabi       ,1263,4058,3.21298495645289
,,Summer     ,1740,6028,3.46436781609195
,,Total,8161,15951,1.95453988481804
, 2012-13,Kharif     ,2987,3070,1.02778707733512
,,Rabi       ,1470,4546,3.09251700680272
,,Summer     ,2196,5652,2.57377049180328
,,Total,6653,13268,1.99428829099654
, 2013-14,Kharif     ,3362,4468,1.32897085068412
,,Rabi       ,2028,3844,1.89546351084813
,,Summer     ,2932,5977,2.03854024556617
