,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
district,BAGALKOT,BANGALORE RURAL,BANGALORE URBAN,BELGAUM,BELLARY,BIDAR,BIJAPUR,CHAMARAJANAGAR,CHIKBALLAPUR,CHIKMAGALUR,CHITRADURGA,DAKSHIN KANNAD,DAVANGERE,DHARWAD,GADAG,GULBARGA,HASSAN,HAVERI,KODAGU,KOLAR,KOPPAL,MANDYA,MYSORE,RAICHUR,RAMANAGARA,SHIMOGA,TUMKUR,UDUPI,UTTAR KANNAD,YADGIR
2006_07,0.483,0.47200000000000003,0.456,0.515,0.434,0.483,0.484,0.525,0.45299999999999996,0.508,0.397,0.645,0.436,0.528,0.415,0.456,0.5529999999999999,0.45,0.652,0.47200000000000003,0.355,0.547,0.524,0.461,0.522,0.524,0.46299999999999997,0.665,0.556,0.48200000000000004
2007_08,0.486,0.504,0.509,0.486,0.429,0.44299999999999995,0.431,0.522,0.45899999999999996,0.51,0.4,0.614,0.452,0.516,0.456,0.429,0.523,0.475,0.622,0.48700000000000004,0.384,0.546,0.5329999999999999,0.439,0.547,0.516,0.469,0.642,0.5479999999999999,0.436
2008_09,0.513,0.56,0.562,0.501,0.43700000000000006,0.512,0.444,0.546,0.493,0.527,0.39799999999999996,0.622,0.452,0.5579999999999999,0.501,0.474,0.564,0.469,0.632,0.526,0.419,0.574,0.537,0.461,0.588,0.491,0.494,0.644,0.52,0.466
2009_10,0.521,0.521,0.525,0.5379999999999999,0.44799999999999995,0.54,0.478,0.551,0.498,0.5479999999999999,0.43,0.648,0.45299999999999996,0.557,0.47600000000000003,0.515,0.56,0.496,0.6459999999999999,0.546,0.424,0.563,0.552,0.48,0.5329999999999999,0.53,0.485,0.684,0.583,0.515
2010_11,0.546,0.564,0.552,0.552,0.466,0.546,0.495,0.619,0.5329999999999999,0.595,0.488,0.6659999999999999,0.51,0.58,0.526,0.532,0.628,0.568,0.677,0.563,0.445,0.617,0.616,0.455,0.616,0.569,0.5429999999999999,0.696,0.611,0.5
2011_12,0.478,0.496,0.506,0.493,0.418,0.445,0.389,0.564,0.47200000000000003,0.5479999999999999,0.377,0.627,0.41700000000000004,0.508,0.40299999999999997,0.447,0.589,0.465,0.638,0.513,0.364,0.585,0.56,0.44299999999999995,0.56,0.541,0.465,0.655,0.574,0.46299999999999997
2012_13,0.498,0.475,0.479,0.485,0.436,0.519,0.473,0.511,0.449,0.526,0.39399999999999996,0.6709999999999999,0.439,0.525,0.484,0.479,0.504,0.48,0.652,0.52,0.408,0.5379999999999999,0.506,0.47700000000000004,0.523,0.546,0.444,0.674,0.6,0.495
2013_14,0.51,0.483,0.47200000000000003,0.502,0.41,0.59,0.469,0.507,0.44,0.523,0.366,0.664,0.423,0.531,0.46,0.529,0.525,0.45399999999999996,0.654,0.469,0.397,0.541,0.5,0.469,0.525,0.519,0.45899999999999996,0.6709999999999999,0.593,0.495
2014_15,0.524,0.513,0.48700000000000004,0.5539999999999999,0.46799999999999997,0.434,0.469,0.535,0.41100000000000003,0.568,0.429,0.6709999999999999,0.47700000000000004,0.586,0.503,0.515,0.564,0.527,0.6729999999999999,0.486,0.44,0.586,0.564,0.484,0.5660000000000001,0.564,0.49200000000000005,0.688,0.622,0.508
2015_16,0.507,0.5870000000000001,0.564,0.499,0.43,0.391,0.42700000000000005,0.6679999999999999,0.547,0.616,0.444,0.7,0.447,0.504,0.44799999999999995,0.405,0.639,0.469,0.7240000000000001,0.575,0.373,0.657,0.647,0.46,0.675,0.5870000000000001,0.589,0.7120000000000001,0.628,0.449
2016_17,0.43700000000000006,0.447,0.435,0.46799999999999997,0.381,0.49700000000000005,0.406,0.39799999999999996,0.375,0.493,0.32799999999999996,0.6679999999999999,0.40700000000000003,0.41100000000000003,0.366,0.49700000000000005,0.47600000000000003,0.39299999999999996,0.649,0.431,0.34,0.517,0.446,0.444,0.488,0.55,0.41700000000000004,0.684,0.602,0.469
2017_18,0.521,0.531,0.506,0.537,0.48700000000000004,0.557,0.512,0.574,0.479,0.551,0.42200000000000004,0.6759999999999999,0.473,0.5820000000000001,0.502,0.528,0.546,0.48700000000000004,0.691,0.5579999999999999,0.462,0.614,0.5760000000000001,0.564,0.589,0.574,0.491,0.693,0.633,0.523
2018_19,0.46,0.45399999999999996,0.456,0.519,0.42200000000000004,0.414,0.39,0.51,0.376,0.581,0.39399999999999996,0.6809999999999999,0.44299999999999995,0.51,0.41,0.431,0.544,0.49,0.6559999999999999,0.446,0.35700000000000004,0.5660000000000001,0.491,0.446,0.531,0.585,0.478,0.6920000000000001,0.639,0.42700000000000005
2019_20,0.528,0.541,0.517,0.536,0.529,0.591,0.534,0.616,0.522,0.616,0.479,0.6659999999999999,0.53,0.575,0.5329999999999999,0.56,0.613,0.501,0.706,0.56,0.48100000000000004,0.629,0.616,0.578,0.628,0.604,0.569,0.696,0.632,0.507
