,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
district,BAGALKOT,BANGALORE RURAL,BANGALORE URBAN,BELGAUM,BELLARY,BIDAR,BIJAPUR,CHAMARAJANAGAR,CHIKBALLAPUR,CHIKMAGALUR,CHITRADURGA,DAKSHIN KANNAD,DAVANGERE,DHARWAD,GADAG,GULBARGA,HASSAN,HAVERI,KODAGU,KOLAR,KOPPAL,MANDYA,MYSORE,RAICHUR,RAMANAGARA,SHIMOGA,TUMKUR,UDUPI,UTTAR KANNAD,YADGIR
2006_07,0.35200000000000004,0.319,0.314,0.366,0.349,0.289,0.28,0.35600000000000004,0.298,0.39,0.287,0.579,0.34,0.34600000000000003,0.297,0.26,0.37799999999999995,0.327,0.531,0.331,0.322,0.41200000000000003,0.344,0.377,0.341,0.43200000000000005,0.318,0.593,0.49200000000000005,0.37
2007_08,0.386,0.414,0.419,0.38299999999999995,0.389,0.292,0.29600000000000004,0.444,0.37799999999999995,0.452,0.321,0.574,0.377,0.384,0.34,0.28600000000000003,0.434,0.374,0.5670000000000001,0.401,0.36200000000000004,0.456,0.395,0.436,0.435,0.462,0.38299999999999995,0.604,0.514,0.397
2008_09,0.36200000000000004,0.375,0.371,0.377,0.36,0.287,0.27699999999999997,0.37200000000000005,0.34,0.41100000000000003,0.3,0.568,0.364,0.381,0.332,0.28,0.4,0.345,0.537,0.35600000000000004,0.34700000000000003,0.41700000000000004,0.34600000000000003,0.406,0.392,0.434,0.359,0.588,0.485,0.39
2009_10,0.431,0.365,0.37,0.42700000000000005,0.413,0.32299999999999995,0.34299999999999997,0.373,0.349,0.462,0.331,0.626,0.429,0.452,0.39799999999999996,0.313,0.434,0.41200000000000003,0.581,0.36200000000000004,0.39799999999999996,0.455,0.375,0.46799999999999997,0.38799999999999996,0.49700000000000005,0.369,0.643,0.54,0.435
2010_11,0.389,0.391,0.384,0.41200000000000003,0.39799999999999996,0.369,0.327,0.397,0.361,0.461,0.349,0.601,0.4,0.41100000000000003,0.375,0.341,0.436,0.38799999999999996,0.5710000000000001,0.385,0.381,0.457,0.385,0.425,0.418,0.465,0.385,0.621,0.531,0.401
2011_12,0.365,0.348,0.35200000000000004,0.375,0.373,0.305,0.28600000000000003,0.368,0.32899999999999996,0.423,0.301,0.578,0.364,0.345,0.319,0.29600000000000004,0.413,0.353,0.56,0.345,0.348,0.44799999999999995,0.371,0.39,0.384,0.467,0.348,0.593,0.512,0.37200000000000005
2012_13,0.364,0.34299999999999997,0.336,0.374,0.38299999999999995,0.322,0.306,0.35,0.324,0.42700000000000005,0.315,0.613,0.381,0.335,0.303,0.301,0.397,0.36200000000000004,0.56,0.355,0.355,0.428,0.353,0.40700000000000003,0.365,0.48100000000000004,0.35100000000000003,0.621,0.517,0.39899999999999997
2013_14,0.387,0.38799999999999996,0.381,0.406,0.39899999999999997,0.348,0.324,0.39,0.35700000000000004,0.442,0.33399999999999996,0.599,0.39299999999999996,0.382,0.348,0.32299999999999995,0.423,0.377,0.568,0.371,0.376,0.46299999999999997,0.382,0.444,0.414,0.47100000000000003,0.384,0.613,0.526,0.414
2014_15,0.4,0.376,0.36,0.425,0.39899999999999997,0.316,0.322,0.369,0.313,0.439,0.32799999999999996,0.6,0.396,0.414,0.34299999999999997,0.32,0.42100000000000004,0.392,0.568,0.33,0.366,0.46399999999999997,0.384,0.431,0.39799999999999996,0.48,0.369,0.618,0.539,0.40700000000000003
2015_16,0.344,0.41100000000000003,0.39399999999999996,0.35200000000000004,0.36200000000000004,0.251,0.271,0.40399999999999997,0.375,0.46399999999999997,0.336,0.61,0.38799999999999996,0.327,0.3,0.261,0.433,0.369,0.586,0.41,0.326,0.469,0.392,0.358,0.435,0.48700000000000004,0.41,0.638,0.532,0.322
2016_17,0.375,0.375,0.36700000000000005,0.384,0.322,0.35600000000000004,0.304,0.332,0.318,0.435,0.299,0.611,0.363,0.321,0.292,0.33399999999999996,0.41,0.354,0.62,0.359,0.304,0.431,0.366,0.35700000000000004,0.409,0.47700000000000004,0.365,0.62,0.52,0.424
2017_18,0.392,0.391,0.379,0.40700000000000003,0.389,0.33299999999999996,0.32899999999999996,0.392,0.34600000000000003,0.42,0.32799999999999996,0.597,0.39299999999999996,0.336,0.312,0.32799999999999996,0.40399999999999997,0.368,0.5720000000000001,0.4,0.365,0.457,0.39,0.435,0.431,0.49,0.37799999999999995,0.62,0.5329999999999999,0.45799999999999996
2018_19,0.371,0.361,0.358,0.389,0.353,0.287,0.282,0.389,0.307,0.451,0.313,0.595,0.387,0.335,0.298,0.285,0.42200000000000004,0.36200000000000004,0.596,0.353,0.318,0.47700000000000004,0.39,0.341,0.429,0.504,0.374,0.61,0.537,0.319
2019_20,0.41600000000000004,0.37799999999999995,0.365,0.45299999999999996,0.425,0.35700000000000004,0.35,0.41100000000000003,0.348,0.507,0.364,0.597,0.43200000000000005,0.461,0.392,0.34700000000000003,0.46799999999999997,0.45299999999999996,0.623,0.374,0.38299999999999995,0.478,0.418,0.44,0.44299999999999995,0.54,0.405,0.614,0.56,0.466
