,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
district,BAGALKOT,BANGALORE RURAL,BANGALORE URBAN,BELGAUM,BELLARY,BIDAR,BIJAPUR,CHAMARAJANAGAR,CHIKBALLAPUR,CHIKMAGALUR,CHITRADURGA,DAKSHIN KANNAD,DAVANGERE,DHARWAD,GADAG,GULBARGA,HASSAN,HAVERI,KODAGU,KOLAR,KOPPAL,MANDYA,MYSORE,RAICHUR,RAMANAGARA,SHIMOGA,TUMKUR,UDUPI,UTTAR KANNAD,YADGIR
2006_07,0.397,0.391,0.43,0.48100000000000004,0.33299999999999996,0.42700000000000005,0.301,0.478,0.37,0.48100000000000004,0.321,0.551,0.42100000000000004,0.426,0.35100000000000003,0.309,0.501,0.444,0.569,0.42100000000000004,0.33899999999999997,0.486,0.513,0.335,0.45299999999999996,0.5589999999999999,0.382,0.556,0.55,0.354
2007_08,0.423,0.344,0.36,0.43,0.34600000000000003,0.419,0.305,0.445,0.35,0.5,0.36700000000000005,0.537,0.41600000000000004,0.349,0.38,0.325,0.499,0.34299999999999997,0.5720000000000001,0.38,0.332,0.455,0.495,0.344,0.406,0.436,0.379,0.525,0.473,0.415
2008_09,0.28300000000000003,0.373,0.41200000000000003,0.387,0.266,0.295,0.196,0.433,0.355,0.45,0.285,0.58,0.359,0.326,0.244,0.21600000000000003,0.491,0.36700000000000005,0.65,0.369,0.259,0.456,0.484,0.239,0.431,0.537,0.364,0.606,0.5770000000000001,0.24100000000000002
2009_10,0.414,0.415,0.431,0.473,0.33299999999999996,0.353,0.299,0.483,0.35,0.507,0.35,0.5920000000000001,0.41600000000000004,0.42100000000000004,0.35700000000000004,0.27699999999999997,0.514,0.418,0.611,0.391,0.359,0.46799999999999997,0.522,0.311,0.488,0.513,0.392,0.544,0.568,0.302
2010_11,0.415,0.39799999999999996,0.419,0.435,0.314,0.27,0.281,0.446,0.38799999999999996,0.42700000000000005,0.318,0.6,0.373,0.348,0.318,0.32799999999999996,0.467,0.361,0.561,0.431,0.348,0.484,0.516,0.34299999999999997,0.449,0.514,0.38299999999999995,0.599,0.534,0.354
2011_12,0.414,0.415,0.431,0.473,0.33299999999999996,0.353,0.299,0.48200000000000004,0.349,0.507,0.35,0.591,0.41600000000000004,0.42200000000000004,0.35700000000000004,0.27699999999999997,0.514,0.418,0.611,0.391,0.359,0.46799999999999997,0.522,0.311,0.488,0.513,0.392,0.544,0.568,0.302
2012_13,0.33899999999999997,0.34700000000000003,0.355,0.37799999999999995,0.289,0.452,0.251,0.419,0.33299999999999996,0.474,0.307,0.627,0.34700000000000003,0.34299999999999997,0.264,0.308,0.457,0.34299999999999997,0.5920000000000001,0.401,0.275,0.466,0.474,0.27899999999999997,0.395,0.49700000000000005,0.361,0.5720000000000001,0.568,0.327
2013_14,0.379,0.354,0.39799999999999996,0.429,0.317,0.429,0.262,0.40299999999999997,0.313,0.46,0.308,0.539,0.41,0.406,0.305,0.31,0.465,0.414,0.5579999999999999,0.36700000000000005,0.319,0.445,0.48100000000000004,0.318,0.426,0.512,0.345,0.569,0.557,0.299
2014_15,0.418,0.395,0.402,0.45,0.337,0.369,0.308,0.46,0.33399999999999996,0.494,0.342,0.622,0.374,0.38799999999999996,0.33,0.318,0.51,0.41,0.616,0.373,0.354,0.498,0.516,0.309,0.452,0.505,0.402,0.627,0.6,0.313
2015_16,0.408,0.444,0.483,0.496,0.337,0.436,0.27699999999999997,0.502,0.36200000000000004,0.5579999999999999,0.375,0.623,0.451,0.419,0.326,0.308,0.564,0.467,0.6579999999999999,0.39899999999999997,0.33,0.53,0.57,0.275,0.536,0.598,0.436,0.625,0.608,0.293
2016_17,0.377,0.491,0.499,0.414,0.36,0.49200000000000005,0.302,0.509,0.446,0.45799999999999996,0.36,0.5529999999999999,0.47200000000000003,0.389,0.35200000000000004,0.34700000000000003,0.517,0.466,0.648,0.466,0.368,0.511,0.562,0.336,0.53,0.5660000000000001,0.456,0.552,0.5589999999999999,0.358
2017_18,0.414,0.42100000000000004,0.43700000000000006,0.45399999999999996,0.27899999999999997,0.45,0.31,0.428,0.363,0.455,0.27399999999999997,0.614,0.379,0.405,0.282,0.374,0.53,0.44799999999999995,0.664,0.43,0.324,0.48700000000000004,0.594,0.301,0.503,0.599,0.381,0.612,0.61,0.337
2018_19,0.395,0.441,0.43700000000000006,0.485,0.33299999999999996,0.406,0.285,0.491,0.379,0.478,0.382,0.465,0.441,0.408,0.348,0.33299999999999996,0.524,0.446,0.623,0.441,0.366,0.513,0.5579999999999999,0.293,0.509,0.53,0.44299999999999995,0.521,0.532,0.32299999999999995
2019_20,0.439,0.44,0.42700000000000005,0.469,0.29100000000000004,0.37,0.298,0.469,0.364,0.475,0.319,0.584,0.39,0.402,0.316,0.337,0.49700000000000005,0.41600000000000004,0.61,0.414,0.313,0.514,0.5379999999999999,0.289,0.498,0.5429999999999999,0.41200000000000003,0.579,0.5670000000000001,0.318
