,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
district,BAGALKOT,BANGALORE RURAL,BANGALORE URBAN,BELGAUM,BELLARY,BIDAR,BIJAPUR,CHAMARAJANAGAR,CHIKBALLAPUR,CHIKMAGALUR,CHITRADURGA,DAKSHIN KANNAD,DAVANGERE,DHARWAD,GADAG,GULBARGA,HASSAN,HAVERI,KODAGU,KOLAR,KOPPAL,MANDYA,MYSORE,RAICHUR,RAMANAGARA,SHIMOGA,TUMKUR,UDUPI,UTTAR KANNAD,YADGIR
2006_07,0.408,0.415,0.431,0.53,0.369,0.565,0.326,0.431,0.358,0.53,0.35100000000000003,0.608,0.55,0.48700000000000004,0.36,0.43200000000000005,0.51,0.575,0.65,0.42200000000000004,0.33299999999999996,0.444,0.489,0.35,0.445,0.614,0.385,0.6940000000000001,0.617,0.39299999999999996
2007_08,0.49700000000000005,0.485,0.489,0.55,0.44299999999999995,0.626,0.408,0.49,0.474,0.55,0.428,0.599,0.561,0.52,0.439,0.499,0.555,0.551,0.636,0.47,0.41700000000000004,0.479,0.552,0.418,0.504,0.573,0.46399999999999997,0.626,0.5870000000000001,0.495
2008_09,0.38799999999999996,0.47100000000000003,0.504,0.47100000000000003,0.374,0.537,0.307,0.48,0.46399999999999997,0.501,0.37799999999999995,0.5539999999999999,0.505,0.423,0.303,0.41100000000000003,0.514,0.556,0.547,0.462,0.35,0.44299999999999995,0.496,0.36200000000000004,0.451,0.545,0.44799999999999995,0.564,0.594,0.39899999999999997
2009_10,0.42100000000000004,0.414,0.466,0.5539999999999999,0.369,0.386,0.341,0.446,0.344,0.502,0.368,0.631,0.539,0.528,0.408,0.336,0.513,0.56,0.632,0.38,0.345,0.418,0.529,0.317,0.486,0.584,0.384,0.639,0.602,0.311
2010_11,0.456,0.5,0.513,0.527,0.389,0.6409999999999999,0.371,0.46799999999999997,0.517,0.56,0.43799999999999994,0.65,0.552,0.49700000000000005,0.406,0.5670000000000001,0.5529999999999999,0.589,0.618,0.502,0.431,0.495,0.535,0.46,0.526,0.589,0.474,0.644,0.606,0.521
2011_12,0.42200000000000004,0.414,0.465,0.5539999999999999,0.369,0.386,0.341,0.446,0.344,0.502,0.368,0.631,0.539,0.529,0.408,0.336,0.513,0.56,0.631,0.38,0.345,0.418,0.529,0.317,0.486,0.584,0.384,0.639,0.603,0.312
2012_13,0.386,0.43,0.46399999999999997,0.461,0.337,0.708,0.293,0.381,0.397,0.527,0.345,0.605,0.456,0.4,0.303,0.483,0.47600000000000003,0.511,0.63,0.45899999999999996,0.33399999999999996,0.441,0.45,0.31,0.485,0.615,0.38299999999999995,0.627,0.634,0.386
2013_14,0.45399999999999996,0.444,0.43,0.517,0.48700000000000004,0.603,0.41100000000000003,0.426,0.402,0.564,0.40399999999999997,0.595,0.574,0.49,0.386,0.473,0.546,0.61,0.61,0.39,0.45799999999999996,0.449,0.516,0.442,0.506,0.585,0.414,0.612,0.619,0.43200000000000005
2014_15,0.47700000000000004,0.45899999999999996,0.45899999999999996,0.569,0.46299999999999997,0.561,0.349,0.445,0.396,0.574,0.418,0.633,0.599,0.5329999999999999,0.45899999999999996,0.441,0.5670000000000001,0.685,0.6659999999999999,0.39399999999999996,0.444,0.467,0.574,0.359,0.478,0.613,0.436,0.644,0.677,0.386
2015_16,0.42200000000000004,0.507,0.514,0.529,0.392,0.588,0.294,0.48,0.39399999999999996,0.594,0.41600000000000004,0.7140000000000001,0.552,0.474,0.361,0.402,0.622,0.605,0.713,0.42200000000000004,0.359,0.541,0.5870000000000001,0.307,0.55,0.657,0.475,0.7040000000000001,0.669,0.38
2016_17,0.496,0.493,0.47200000000000003,0.578,0.434,0.706,0.484,0.49200000000000005,0.47200000000000003,0.5579999999999999,0.43200000000000005,0.653,0.568,0.5489999999999999,0.45399999999999996,0.5329999999999999,0.5589999999999999,0.657,0.6990000000000001,0.509,0.449,0.513,0.59,0.43799999999999994,0.535,0.619,0.47600000000000003,0.6809999999999999,0.627,0.48100000000000004
2017_18,0.439,0.395,0.414,0.524,0.35,0.634,0.36700000000000005,0.42200000000000004,0.344,0.511,0.32899999999999996,0.643,0.47600000000000003,0.439,0.331,0.483,0.524,0.564,0.631,0.392,0.419,0.46299999999999997,0.521,0.371,0.488,0.667,0.376,0.655,0.682,0.43
2018_19,0.441,0.457,0.42,0.541,0.353,0.615,0.34299999999999997,0.447,0.371,0.503,0.39,0.604,0.541,0.512,0.377,0.429,0.48700000000000004,0.608,0.564,0.406,0.341,0.469,0.503,0.302,0.517,0.579,0.414,0.6679999999999999,0.591,0.375
2019_20,0.45,0.386,0.392,0.48200000000000004,0.327,0.546,0.345,0.414,0.36200000000000004,0.484,0.307,0.519,0.446,0.449,0.38799999999999996,0.42100000000000004,0.535,0.51,0.654,0.391,0.35600000000000004,0.456,0.5529999999999999,0.33399999999999996,0.462,0.596,0.38799999999999996,0.542,0.5539999999999999,0.40700000000000003
